标题,价格,出租类型,房屋类型,格局,面积,朝向,装修,楼层,小区,位置,发布人
软件园旁边宝龙御湖官邸高装3房家具家电齐全,6500,整租,普通住宅,3室2厅2卫,141平米,朝南北,豪华装修,第8层/共11层,宝龙御湖官邸,湖边水库片,经纪人：
湖边水库片区高档装修三房家电齐全随时看房,6700,整租,普通住宅,3室2厅2卫,141平米,朝南北,豪华装修,第7层/共14层,宝龙御湖官邸,湖边水库片,经纪人：
欣华花园1室0厅1卫26.57m²,1600,整租,普通住宅,1室0厅1卫,27平米,朝北,中等装修,第4层/共12层,欣华花园,华荣路,个人                                                ：
大唐五缘yoho精装楼中楼拎包入住BRT沿线,2500,整租,公寓,1室0厅1卫,33平米,朝南,精装修,第11层/共24层,大唐五缘YOHO,五缘湾,经纪人：
大唐五缘yoho精装楼中楼拎包入住BRT沿线,2800,整租,公寓,1室1厅1卫,33平米,朝南,精装修,第8层/共24层,大唐五缘YOHO,五缘湾,经纪人：
建发湾区挑高楼中楼办公装配空调使用面积大配套成熟,4300,整租,公寓,2室2厅1卫,61平米,朝东,精装修,第12层/共20层,建发湾区SOHO,五缘湾,经纪人：
百挑不如一看万达公寓钻石小户型拎包入住,2600,整租,普通住宅,1室1厅1卫,44平米,朝南,中等装修,第10层/共31层,厦门万达广场,万达广场,经纪人：
湖里湖边水库片区宝龙御湖官邸3室,7500,整租,普通住宅,3室2厅2卫,142平米,朝南北,中等装修,第2层/共11层,宝龙御湖官邸,湖边水库片,经纪人：
江头公园附近新景园80平2房2阳台租3300,3300,整租,普通住宅,2室1厅1卫,80平米,朝西南,中等装修,第13层/共25层,新景园,江头北路,经纪人：
正规三房家具家电齐全配套成熟特房山水新座万达商圈,6000,整租,普通住宅,1室0厅0卫,111平米,朝南北,精装修,第4层/共18层,特房山水新座,湖边水库片,经纪人：
东方巴黎广场三期正规3房拎包入住4900一个月,4900,整租,普通住宅,3室2厅2卫,140平米,朝南北,豪华装修,第5层/共20层,东方巴黎广场三期,江头北路,经纪人：
东方巴黎广场三期正规3房拎包入住4900一个月,4900,整租,普通住宅,3室2厅2卫,140平米,朝南北,豪华装修,第5层/共20层,东方巴黎广场三期,江头北路,经纪人：
祥店福满园中医院《实验二小旁正规大两房家电齐全》,2600,整租,普通住宅,2室1厅1卫,82平米,朝南北,简单装修,第2层/共10层,金尚风景（福满园）,祥店,经纪人：
万达公寓租价又不会掉再挑就那么几套没有只有更好,1700,整租,公寓,1室0厅1卫,44平米,朝南,中等装修,第4层/共31层,万达SOHO公寓,湖边水库片,经纪人：
万达公寓出租豪华装修随时看房3200元/月,3200,整租,普通住宅,1室1厅1卫,42平米,朝北,豪华装修,第17层/共31层,万达SOHO公寓,湖边水库片,经纪人：
万达公寓软件园沃尔玛超市吃逛方便！,2200,整租,普通住宅,1室0厅1卫,42平米,朝南北,精装修,第19层/共31层,万达SOHO公寓,湖边水库片,经纪人：
万达公寓软件园沃尔玛超市吃逛方便！,2200,整租,普通住宅,1室0厅1卫,42平米,朝南北,精装修,第19层/共31层,万达SOHO公寓,湖边水库片,经纪人：
两房一厅50m²BRT旁,2100,整租,公寓,2室1厅1卫,50平米,第4层/共5层,,,青友西潘公寓,金山小区,品牌公寓：
金山BRT旁湖景一室一厅只租2399,2399,整租,公寓,1室1厅1卫,40平米,第24层/共32层,,,融景湾,湖边水库片,品牌公寓：
BRT旁！全新招租！多套可选！包宽带,1400,整租,公寓,1室1厅1卫,25平米,第3层/共5层,,,西潘社,金山小区,品牌公寓：
青友公寓 县后BRT 宏益华府 一房 家具家电齐全 周边配套齐全,1500,整租,公寓,1室0厅1卫,20平米,第6层/共13层,,,宏益华府,五缘湾,品牌公寓：
青友公寓直租免中介费 国际石材新出精装两房公寓 设计新颖 设施配备齐全 包物业宽带,2550,整租,公寓,2室1厅1卫,45平米,第5层/共9层,,,国际石材中心,机场附近,品牌公寓：
东方巴黎广场三期正规3房拎包入住4900一个月,4900,整租,普通住宅,3室2厅2卫,140平米,朝南北,豪华装修,第5层/共20层,东方巴黎广场三期,江头北路,经纪人：
祥店福满园中医院《实验二小旁正规大两房家电齐全》,2600,整租,普通住宅,2室1厅1卫,82平米,朝南北,简单装修,第2层/共10层,金尚风景（福满园）,祥店,经纪人：
万达公寓租价又不会掉再挑就那么几套没有只有更好,1700,整租,公寓,1室0厅1卫,44平米,朝南,中等装修,第4层/共31层,万达SOHO公寓,湖边水库片,经纪人：
万达公寓出租豪华装修随时看房3200元/月,3200,整租,普通住宅,1室1厅1卫,42平米,朝北,豪华装修,第17层/共31层,万达SOHO公寓,湖边水库片,经纪人：
万达公寓软件园沃尔玛超市吃逛方便！,2200,整租,普通住宅,1室0厅1卫,42平米,朝南北,精装修,第19层/共31层,万达SOHO公寓,湖边水库片,经纪人：
万达公寓软件园沃尔玛超市吃逛方便！,2200,整租,普通住宅,1室0厅1卫,42平米,朝南北,精装修,第19层/共31层,万达SOHO公寓,湖边水库片,经纪人：
湖边万达广场单间多套可选，车位300可包物业。,2300,整租,普通住宅,1室0厅1卫,44平米,朝南北,中等装修,第10层/共20层,万达SOHO公寓,湖边水库片,经纪人：
生活交通方便湖边上班方便舒适单间，湖边万达广场。,2300,整租,普通住宅,1室1厅1卫,44平米,朝南,中等装修,第1层/共10层,万达SOHO公寓,湖边水库片,经纪人：
个人出租SM附近江头台湾街华永天地2房1厅2600元,2600,整租,普通住宅,2室1厅1卫,50平米,朝南,中等装修,第13层/共15层,华永天地,台湾街,个人                                                ：
国际山庄别墅4房出租中等装修环境优雅采光好即租即入住！,8500,整租,别墅,4室2厅2卫,183平米,朝南北,简单装修,第2层/共4层,国际山庄,金尚路,经纪人：
万达SOHO44平公司办公交通方便可创业好选择,1700,整租,公寓,1室1厅1卫,42平米,朝南,精装修,第20层/共31层,万达SOHO公寓,湖边水库片,经纪人：
江头 福隆·国际精装大3房 160平 仅4000！！急租急租,4000,整租,普通住宅,1室0厅0卫,160平米,朝南北,精装修,第13层/共32层,福隆国际,江头北路,经纪人：
台湾街 金盛大厦 精装大3房 环境优美 仅限3800！！！,3800,整租,普通住宅,3室2厅1卫,97平米,朝南北,精装修,第6层/共24层,金盛大厦,江头北路,经纪人：
江头片区 福隆·国际精装大两房 仅2800！！直接看现房,2800,整租,普通住宅,2室1厅1卫,50平米,朝南北,精装修,第8层/共32层,福隆国际,江头北路,经纪人：
江头嘉盛花园2房家电齐全精装包物业仅租2500,2500,整租,普通住宅,2室1厅1卫,66平米,朝南北,精装修,第2层/共7层,嘉盛花园(江头),台湾街,经纪人：
看了这套房子就想有个家,2000,整租,普通住宅,1室1厅1卫,40平米,朝南,中等装修,第28层/共32层,福隆国际,江头北路,经纪人：
东方巴黎广场三期精装修家电齐全，随时入住！,5500,整租,普通住宅,3室2厅2卫,156平米,朝南北,中等装修,第31层/共33层,东方巴黎广场三期,江头北路,经纪人：
江头片区冠宏花园正规大两房精装修业主急租仅2900,2900,整租,普通住宅,2室1厅1卫,50平米,朝南北,精装修,第5层/共28层,冠宏花园,江头北路,经纪人：
江头片区冠宏花园精装正规一房一厅稀缺户型急租,2700,整租,普通住宅,1室1厅1卫,56平米,朝南北,精装修,第22层/共28层,冠宏花园,江头北路,经纪人：
直租免中介，湖里高新技术园力拓大厦,2600,整租,公寓,2室1厅1卫,42平米,第8层/共13层,,,力拓大厦,高新技术园,品牌公寓：
青友公寓直租免中介费 国际石材新出精装公寓 设计新颖 设施配备齐全 包物业宽带,1600,整租,公寓,1室1厅1卫,25平米,第5层/共9层,,,国际石材中心,机场附近,品牌公寓：
免中介费包物业宽带押一付一多套,1500,整租,公寓,1室1厅1卫,25平米,第4层/共6层,,,中铺社,殿前,品牌公寓：
青友品牌公寓免中介费 BRT县后站 湖里高新技术园宏益华府,1450,整租,公寓,1室0厅1卫,20平米,第5层/共13层,,,宏益华府,五缘湾,品牌公寓：
高新科技园内宏益华府一房一厅1800,1800,整租,公寓,1室1厅1卫,37平米,第7层/共13层,,,宏益华府,高新技术园,品牌公寓：
江头片区冠宏花园精装大两房仅3200！！！直接看现房,3200,整租,普通住宅,2室2厅1卫,75平米,朝南北,精装修,第7层/共28层,冠宏花园,江头北路,经纪人：
精装月租4800元3房，万达软件园旁世茂湖滨，地铁口水库边,4800,整租,普通住宅,3室2厅2卫,138平米,朝南,精装修,第3层/共10层,世茂湖滨首府,湖边水库片,经纪人：
软件园二世茂湖滨温馨2房4000元看房方便,4000,整租,普通住宅,2室1厅1卫,75平米,朝南北,精装修,第18层/共34层,世茂湖滨首府,湖边水库片,经纪人：
湖边水库世茂湖滨精装单身公寓出租1400元,1400,整租,普通住宅,1室1厅1卫,35平米,朝南北,精装修,第19层/共35层,世茂湖滨首府,湖边水库片,经纪人：
紧急行动！2300@大唐YOHO、精装全套、单身公寓、不议价,2300,整租,普通住宅,1室1厅1卫,33平米,朝南,中等装修,第10层/共26层,特易购地产集团,五缘湾,经纪人：
实拍照！特房五缘尚座、全套精装三房、惜租随时看、不容错过啊！,6500,整租,普通住宅,3室2厅2卫,130平米,朝南北,中等装修,第22层/共27层,特房五缘尚座,五缘湾,经纪人：
湾区SOHO繁华商圈高品质办公坐拥湾悦城市行政BRT,3800,整租,普通住宅,2室2厅2卫,63平米,朝西,精装修,第13层/共20层,建发湾区SOHO,五缘湾,经纪人：
五缘湾乐购旁单身公寓全套家电拧包入住楼下就是公交站,2500,整租,普通住宅,1室1厅1卫,33平米,朝南北,中等装修,第16层/共24层,大唐五缘YOHO,五缘湾,经纪人：
五缘湾SOHO精装未入住5米楼中楼2房2卫使用面积大,4500,整租,普通住宅,2室2厅2卫,63平米,朝南北,中等装修,第20层/共20层,建发湾区SOHO,五缘湾,经纪人：
特房五缘新座尚座多套单间出租欢迎来电看房！,1300,整租,普通住宅,1室0厅1卫,30平米,朝南,精装修,第4层/共27层,特房五缘新座,五缘湾,经纪人：
五缘湾乐购旁正规两房业主自住装修全套家电高层采光好,4400,整租,普通住宅,2室2厅1卫,90平米,朝南北,中等装修,第10层/共24层,特房五缘新座,市政务中心,经纪人：
冠宏花园房东自住装修，真实照片，干净清爽，3房4000,4000,整租,普通住宅,3室2厅2卫,99平米,朝南北,豪华装修,第16层/共28层,冠宏花园,江头北路,经纪人：
五缘湾400多平双拼别墅办公住家仅租1.2万,12000,整租,普通住宅,5室3厅4卫,450平米,朝南北,中等装修,第3层/共3层,世茂湖滨首府B区,湖边水库片,经纪人：
祥店幸福生活中医院实验二小旁简装采光佳三房3800元,3800,整租,普通住宅,3室2厅2卫,135平米,朝南北,中等装修,第8层/共15层,第二城幸福生活,祥店,经纪人：
湖里万达广场，家具齐全、带露台低价出租性价比极高,2300,整租,公寓,1室1厅1卫,44平米,朝南,精装修,第5层/共31层,湖里万达广场,,经纪人：
湖里万达广场公寓家具配套齐全、房东低价出租！,2400,整租,公寓,1室0厅1卫,42平米,朝北,精装修,第27层/共31层,湖里万达广场,,经纪人：
城市中心湖里万达广场公寓家具配套出租、高品质小区，非常安静！,2500,整租,公寓,1室0厅1卫,42平米,朝南,精装修,第22层/共31层,湖里万达广场,,经纪人：
吐血的价，神奇的房，保证给您一个舒适的居住环境 性价比最高！,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第4层/共31层,湖里万达广场,,经纪人：
青友公寓招租 个人 多套单间出租 1450-1600元 包物业宽带 拎包入住,1500,整租,公寓,1室0厅1卫,25平米,第13层/共15层,,,华永天地,江头,品牌公寓：
青友免中介 湖里 金湖路 禹州城上城 1室900 精装 采光好,900,整租,公寓,1室0厅1卫,22平米,第13层/共15层,,,禹洲城上城,金湖路,品牌公寓：
青友品牌公寓出租力拓新城小区 交通便利 家具齐全 拎包入住 多套房源 价格1600-3200不等,2600,整租,公寓,2室1厅1卫,46平米,第9层/共13层,,,l力拓新城,市政务中心,品牌公寓：
精美小清新包宽带大两房朝南多套,3500,整租,公寓,2室1厅1卫,80平米,第18层/共35层,,,世茂湖滨首府,万达广场,品牌公寓：
青友免中介 湖里 江头 华永天地1室1厅2600 精装 采光好,2600,整租,公寓,1室1厅1卫,68平米,第15层/共15层,,,华永天地,台湾街,品牌公寓：
湖里万达广场公寓家具配套齐全、房东低价出租！,2400,整租,公寓,1室0厅1卫,42平米,朝北,精装修,第27层/共31层,湖里万达广场,,经纪人：
城市中心湖里万达广场公寓家具配套出租、高品质小区，非常安静！,2500,整租,公寓,1室0厅1卫,42平米,朝南,精装修,第22层/共31层,湖里万达广场,,经纪人：
吐血的价，神奇的房，保证给您一个舒适的居住环境 性价比最高！,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第4层/共31层,湖里万达广场,,经纪人：
湖里万达广场  免中介费 全套全新欧式家具家电 仅2400元,2400,整租,公寓,1室1厅1卫,42平米,朝北,精装修,第7层/共31层,湖里万达广场,湖边水库片,经纪人：
湖里万达广场公寓  全套全新家具家电   仅租2100元 ！,2100,整租,公寓,1室1厅1卫,42平米,朝北,精装修,第4层/共31层,湖里万达广场,湖边水库片,经纪人：
湖里万达广场公寓急租，看房随时，家具配套齐全，高品质小区,2600,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第27层/共31层,特房山水新座,湖边水库片,经纪人：
宝龙一城世茂湖滨业主自装精装3房6900元含车位,6900,整租,普通住宅,3室2厅2卫,138平米,朝南北,精装修,第19层/共32层,世茂湖滨首府,湖边水库片,经纪人：
万达宝龙御湖官邸精装3+1房可办公可住家湖景房,10000,整租,普通住宅,4室2厅4卫,200平米,朝南北,精装修,第10层/共32层,宝龙御湖官邸,湖边水库片,经纪人：
万科软件园世茂湖滨3房简单装修6000元,6000,整租,普通住宅,3室2厅2卫,131平米,朝南北,简单装修,第26层/共28层,世茂湖滨首府,湖边水库片,经纪人：
真实五缘湾万达世茂花园业主自住精装2房5200元,5200,整租,普通住宅,2室2厅2卫,105平米,朝南北,精装修,第30层/共32层,世茂湖滨首府,湖边水库片,经纪人：
